fine_platform,fine_table,fine_record_id,fine_account,fine_source_file,fine_time_start,fine_time_end,fine_time_granularity,fine_date,title,title_missing
netflix,netflix_viewing_public,netflix_view_000001,,source_000001,2026-03-10,2026-03-10,date,2026-03-10,Katil Makine,false
netflix,netflix_viewing_public,netflix_view_000002,,source_000001,2026-02-07,2026-02-07,date,2026-02-07,Wu Assassins: Gu Suikastçıları,false
netflix,netflix_viewing_public,netflix_view_000003,,source_000001,2026-01-27,2026-01-27,date,2026-01-27,Dune: Çöl Gezegeni Bölüm İki,false
netflix,netflix_viewing_public,netflix_view_000004,,source_000001,2026-01-20,2026-01-20,date,2026-01-20,Tougen Anki: Başarmak İstiyorsan Kazanmaya Devam Et,false
netflix,netflix_viewing_public,netflix_view_000005,,source_000001,2026-01-20,2026-01-20,date,2026-01-20,Tougen Anki: İblis Kanı,false
netflix,netflix_viewing_public,netflix_view_000006,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Ruhların Savaşı,false
netflix,netflix_viewing_public,netflix_view_000007,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Kendini Tanı,false
netflix,netflix_viewing_public,netflix_view_000008,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Gurur Gurura Karşı,false
netflix,netflix_viewing_public,netflix_view_000009,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Güneş Tanrısı ve Asi Kahraman,false
netflix,netflix_viewing_public,netflix_view_000010,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: İlerleme,false
netflix,netflix_viewing_public,netflix_view_000011,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Bayrağı Devretmek,false
netflix,netflix_viewing_public,netflix_view_000012,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Lanet ve Dua,false
netflix,netflix_viewing_public,netflix_view_000013,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Işık Gölgeye Karşı,false
netflix,netflix_viewing_public,netflix_view_000014,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Şeytan,false
netflix,netflix_viewing_public,netflix_view_000015,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Kralın Dönüşü,false
netflix,netflix_viewing_public,netflix_view_000016,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Helheim Kralı'nın Gururu,false
netflix,netflix_viewing_public,netflix_view_000017,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Söz ve Yemin,false
netflix,netflix_viewing_public,netflix_view_000018,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Chi You,false
netflix,netflix_viewing_public,netflix_view_000019,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Kral Krala Karşı,false
netflix,netflix_viewing_public,netflix_view_000020,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 3. Sezon: Giriş: Hatıralar,false
netflix,netflix_viewing_public,netflix_view_000021,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 2. Sezon: Işığın Yolu,false
netflix,netflix_viewing_public,netflix_view_000022,,source_000001,2026-01-18,2026-01-18,date,2026-01-18,Record of Ragnarok: 2. Sezon: Öteki Tarafın Efsanesi,false
netflix,netflix_viewing_public,netflix_view_000023,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Tarihteki En Şiddetli Ergenlik,false
netflix,netflix_viewing_public,netflix_view_000024,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Zero,false
netflix,netflix_viewing_public,netflix_view_000025,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: 6'ncı Raunt,false
netflix,netflix_viewing_public,netflix_view_000026,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Sınır,false
netflix,netflix_viewing_public,netflix_view_000027,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Rezonans,false
netflix,netflix_viewing_public,netflix_view_000028,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: 1116'nın Zirvesi,false
netflix,netflix_viewing_public,netflix_view_000029,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Yüz Mühür,false
netflix,netflix_viewing_public,netflix_view_000030,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Çakışan İstekler,false
netflix,netflix_viewing_public,netflix_view_000031,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Ağıt,false
netflix,netflix_viewing_public,netflix_view_000032,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Son Görev,false
netflix,netflix_viewing_public,netflix_view_000033,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Bir Canavarın Doğuşu,false
netflix,netflix_viewing_public,netflix_view_000034,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: Boyun Eğmeyen Savaş Tanrısı,false
netflix,netflix_viewing_public,netflix_view_000035,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 2. Sezon: İyiyle Kötünün Savaşı,false
netflix,netflix_viewing_public,netflix_view_000036,,source_000001,2026-01-17,2026-01-17,date,2026-01-17,Record of Ragnarok: 1. Sezon: Ragnarok Devam Edecek,false
