fine_platform,fine_table,fine_record_id,fine_account,fine_source_file,fine_time_start,fine_time_end,fine_time_granularity,fine_date,source_kind,used_legacy_fallback,action,target_ref_id,target_kind,target_url_kind,channel_ref_id
youtube,youtube_activity_public,15001,account_ref_000002,source_file_ref_000005,2024-12-05T16:08:05+03:00,2024-12-05T16:08:05+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013318,video,watch,channel_ref_004512
youtube,youtube_activity_public,15002,account_ref_000002,source_file_ref_000005,2024-12-05T16:08:14+03:00,2024-12-05T16:08:14+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013319,video,watch,channel_ref_004664
youtube,youtube_activity_public,15003,account_ref_000002,source_file_ref_000005,2024-12-05T16:08:41+03:00,2024-12-05T16:08:41+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013320,video,watch,channel_ref_003996
youtube,youtube_activity_public,15004,account_ref_000002,source_file_ref_000005,2024-12-05T16:09:10+03:00,2024-12-05T16:09:10+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013321,video,watch,
youtube,youtube_activity_public,15005,account_ref_000002,source_file_ref_000005,2024-12-05T16:09:22+03:00,2024-12-05T16:09:22+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013322,video,watch,channel_ref_003587
youtube,youtube_activity_public,15006,account_ref_000002,source_file_ref_000005,2024-12-05T16:09:52+03:00,2024-12-05T16:09:52+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_009681,video,watch,
youtube,youtube_activity_public,15007,account_ref_000002,source_file_ref_000005,2024-12-05T16:10:46+03:00,2024-12-05T16:10:46+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013323,video,watch,channel_ref_004132
youtube,youtube_activity_public,15008,account_ref_000002,source_file_ref_000005,2024-12-05T16:10:50+03:00,2024-12-05T16:10:50+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013324,video,watch,channel_ref_004362
youtube,youtube_activity_public,15009,account_ref_000002,source_file_ref_000005,2024-12-05T16:10:56+03:00,2024-12-05T16:10:56+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013325,video,watch,channel_ref_003499
youtube,youtube_activity_public,15010,account_ref_000002,source_file_ref_000005,2024-12-05T16:11:34+03:00,2024-12-05T16:11:34+03:00,timestamp,2024-12-05,watch_history,False,Watched,target_ref_013326,video,watch,channel_ref_004332
